省份,年份,行政区划代码,总人口,城镇人口,乡村人口,0-14岁,15-64岁,65岁及以上,平均家庭规模,户数,城镇化率,乡村人口占比,0-14岁占比,15-64岁占比,65岁及以上占比
山东,2012,370000.0,9708.0,5051.0,4657.0,1566.66,7120.68,1020.66,2.91,27700.0,0.5202925422332098,0.4797074577667903,0.16137824474660076,0.7334857849196539,0.10513597033374536
山东,2013,370000.0,9746.0,5210.0,4536.0,1508.29,7167.4,1070.31,2.8,28638.0,0.5345782885286271,0.46542171147137285,0.15475990149805047,0.7354196593474246,0.10982043915452493
山东,2014,370000.0,9808.0,5372.0,4436.0,1548.15,7134.8,1125.05,2.84,28391.0,0.547716150081566,0.45228384991843396,0.15784563621533443,0.727446982055465,0.11470738172920064
山东,2015,370000.0,9866.0,5621.0,4245.0,1618.85,7103.58,1143.56,2.86,28665.0,0.5697344415163187,0.4302655584836813,0.16408372187309953,0.7200060814919927,0.11590918305290898
山东,2016,370000.0,9973.0,5897.0,4076.0,1689.56,7121.36,1162.08,2.87,28939.0,0.591296500551489,0.408703499448511,0.16941341622380426,0.7140639727263611,0.11652261104983455
山东,2017,370000.0,10033.0,6099.0,3934.0,1774.03,6961.13,1297.84,2.82,29103.0,0.6078939499651151,0.39210605003488486,0.17681949566430777,0.6938233828366391,0.12935712149905312
山东,2018,370000.0,10077.0,6193.0,3884.0,1814.9,6734.17,1527.92,2.85,28896.0,0.6145678277265059,0.3854321722734941,0.18010320531904336,0.6682713109060237,0.15162449141609607
山东,2019,370000.0,10106.0,6252.0,3854.0,1786.02,6719.67,1600.31,2.74,28543.0,0.6186423906590145,0.38135760934098556,0.1767286760340392,0.664918860083119,0.15835246388284188
山东,2020,370000.0,10165.0,6409.0,3756.0,1829.4,6725.71,1609.89,2.71,34113.0,0.6304968027545499,0.36950319724545005,0.17997048696507625,0.6616537137235612,0.15837579931136253
山东,2021,370000.0,10170.0,6503.0,3667.0,1872.79,6677.74,1619.47,2.67,39683.0,0.6394296951819076,0.36057030481809244,0.18414847590953784,0.6566116027531956,0.15923992133726647
山东,2022,370000.0,10163.0,6559.0,3604.0,1814.23,6649.26,1699.51,2.69,38163.0,0.6453803010921972,0.3546196989078028,0.17851323428121618,0.6542615369477517,0.16722522877103219
山东,2023,370000.0,10123.0,6634.0,3489.0,1749.91,6608.84,1764.25,2.69,39287.0,0.6553393262866739,0.3446606737133261,0.17286476341005633,0.6528538970660871,0.17428133952385658
山东,2024,370000.0,10080.0,6701.18,3379.0,1692.14,6600.21,1787.65,2.43,42300.0,0.6647996031746032,0.33521825396825394,0.16787103174603177,0.6547827380952381,0.17734623015873016
山西,2000,140000.0,3247.0,1199.14,2047.86,728.15,2327.8,191.05,3.49,9154.0,0.36930705266399755,0.6306929473360025,0.22425315676008623,0.7169079149984602,0.058838928241453654
山西,2001,140000.0,3272.0,1247.46,2024.54,717.75,2360.79,193.46,3.55,9054.0,0.38125305623471883,0.6187469437652812,0.21936124694376527,0.7215128361858191,0.05912591687041565
山西,2002,140000.0,3294.0,1295.78,1998.22,772.17,2293.06,228.77,3.61,8954.0,0.39337583485124467,0.6066241651487553,0.23441712204007284,0.6961323618700668,0.06945051608986036
山西,2003,140000.0,3314.0,1344.11,1969.89,760.96,2317.6,235.43,3.67,8854.0,0.4055853952926976,0.5944146047073023,0.22961979480989742,0.6993361496680748,0.07104103802051902
山西,2004,140000.0,3335.0,1392.43,1942.57,706.34,2393.42,235.24,3.62,8926.0,0.41752023988006,0.58247976011994,0.21179610194902548,0.7176671664167916,0.0705367316341829
山西,2005,140000.0,3355.0,1413.0,1942.0,692.15,2427.36,235.48,3.51,9034.0,0.4211624441132638,0.5788375558867362,0.20630402384500746,0.7235052160953801,0.07018777943368107
山西,2006,140000.0,3375.0,1451.0,1923.0,677.97,2461.31,235.73,3.4,9142.0,0.42992592592592593,0.5697777777777778,0.20088,0.7292770370370371,0.06984592592592592
山西,2007,140000.0,3393.0,1494.0,1899.0,662.68,2482.64,247.68,3.36,9173.0,0.4403183023872679,0.5596816976127321,0.19530798703212496,0.7316946654877688,0.0729973474801061
山西,2008,140000.0,3411.0,1539.0,1872.0,620.85,2521.51,268.64,3.32,9239.0,0.45118733509234826,0.5488126649076517,0.182014072119613,0.7392289651128702,0.07875696276751686
山西,2009,140000.0,3427.0,1576.0,1851.0,591.25,2558.57,277.18,3.26,9292.0,0.4598774438284214,0.5401225561715787,0.17252699153778817,0.7465917712284798,0.08088123723373213
山西,2010,140000.0,3574.0,1717.0,1857.0,583.44,2713.65,276.9,3.24,9342.0,0.4804141018466704,0.5195858981533296,0.1632456631225518,0.7592753217683268,0.07747621712367095
山西,2011,140000.0,3562.0,1774.0,1788.0,575.64,2709.73,276.62,3.22,9392.0,0.498034811903425,0.501965188096575,0.16160583941605838,0.7607327344188658,0.07765861875350927
山西,2012,140000.0,3548.0,1821.0,1727.0,557.24,2708.13,282.62,3.06,9759.0,0.5132468996617813,0.4867531003382187,0.1570574971815107,0.763283540022548,0.07965614430665163
山西,2013,140000.0,3535.0,1869.0,1666.0,555.77,2697.45,281.78,3.01,9903.0,0.5287128712871287,0.47128712871287126,0.1572192362093352,0.763069306930693,0.0797114568599717
山西,2014,140000.0,3528.0,1916.0,1612.0,523.6,2703.69,300.71,3.06,9701.0,0.5430839002267573,0.45691609977324266,0.1484126984126984,0.7663520408163266,0.08523526077097505
山西,2015,140000.0,3519.0,1966.0,1553.0,531.63,2684.21,303.16,3.09,9768.0,0.5586814435919295,0.4413185564080705,0.15107416879795396,0.7627763569195795,0.08614947428246662
山西,2016,140000.0,3514.0,2012.0,1502.0,539.66,2668.73,305.61,3.11,9835.0,0.5725668753557199,0.42743312464428,0.15357427433124643,0.7594564598747866,0.086969265793967
山西,2017,140000.0,3510.0,2057.0,1453.0,547.69,2646.79,315.52,2.97,10210.0,0.586039886039886,0.41396011396011395,0.15603703703703706,0.754071225071225,0.08989173789173789
山西,2018,140000.0,3502.0,2096.0,1406.0,546.09,2594.29,361.62,2.99,10121.0,0.5985151342090235,0.4014848657909766,0.15593660765276984,0.7408023986293546,0.1032609937178755
山西,2019,140000.0,3497.0,2143.0,1354.0,537.47,2575.03,384.49,2.95,9844.0,0.6128109808407206,0.3871890191592794,0.15369459536745783,0.7363540177294825,0.10994852730912211
山西,2020,140000.0,3490.0,2182.0,1308.0,545.43,2514.28,430.29,2.8,11756.0,0.625214899713467,0.37478510028653295,0.15628366762177648,0.7204240687679083,0.12329226361031519
山西,2021,140000.0,3480.0,2207.0,1273.0,553.39,2450.53,476.08,2.65,13668.0,0.6341954022988506,0.3658045977011494,0.15902011494252874,0.7041752873563218,0.13680459770114942
山西,2022,140000.0,3481.0,2226.0,1255.0,536.59,2440.33,504.08,2.67,13147.0,0.6394714162596955,0.3605285837403045,0.1541482332663028,0.7010428037920138,0.1448089629416834
山西,2023,140000.0,3466.0,2252.0,1214.0,517.49,2421.53,526.98,2.72,13257.0,0.6497403346797461,0.3502596653202539,0.14930467397576458,0.6986526255049048,0.15204270051933064
山西,2024,140000.0,3446.0,2285.39,1161.0,501.79,2400.24,543.97,2.44,14368.0,0.6632008125362739,0.336912362159025,0.14561520603598377,0.6965293093441671,0.1578554846198491
广东,2000,440000.0,8642.0,4753.1,3888.9,1944.76,6079.26,617.98,3.29,20747.0,0.55,0.45,0.22503587132608194,0.7034552186993752,0.07150890997454293
广东,2001,440000.0,8733.0,4810.78,3922.22,1952.57,6156.16,624.27,3.47,20533.0,0.550873697469369,0.4491263025306309,0.2235852513454712,0.7049307225466621,0.07148402610786671
