省份,year,exponential_decline,local_trend,robust_linear,median_robust_trend,indicator,indicator_code,forecast_method
宁夏,2027,87.16045094950898,88.7298,89.83,88.7298,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2028,87.08713284787706,89.047828,90.63,89.047828,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2029,87.02079188610114,89.32133207999999,91.42999999999999,89.32133207999999,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2030,86.96076410153779,89.55654558879999,92.22999999999999,89.55654558879999,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2031,86.90644871594306,89.75882920636799,93.02999999999999,89.75882920636799,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2032,86.8573021226819,89.93279311747648,93.83,89.93279311747648,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2033,86.81283244613022,90.08240208102977,94.63,90.08240208102977,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2034,86.7725946188183,90.21106578968559,95.42999999999999,90.21106578968559,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
宁夏,2035,86.736185927046,90.32171657912961,96.22999999999999,90.32171657912961,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2025,196.1136765455326,196.57,196.87,196.57,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2026,196.7865829108462,197.602,198.37,197.602,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2027,197.3954537690165,198.48952,199.87,198.48952,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2028,197.9463829042407,199.2527872,201.37,199.2527872,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2029,198.44488420047773,199.909196992,202.87,199.909196992,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2030,198.8959468262524,200.47370941312,204.37,200.47370941312,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2031,199.3040851679309,200.9591900952832,205.87,200.9591900952832,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2032,199.67338401121674,201.37670348194357,207.37,201.37670348194357,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2033,200.00753942305917,201.73576499447145,208.87,201.73576499447145,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2034,200.30989574313344,202.04455789524545,210.37,202.04455789524545,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
安徽,2035,200.58347905511627,202.31011978991108,211.87,202.31011978991108,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2025,165.65968268568244,166.96,167.26000000000002,166.96,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2026,164.93552563338582,167.39000000000001,168.06,167.39000000000001,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2027,164.28028123593324,167.7598,168.86,167.7598,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2028,163.68739158715974,168.077828,169.66,168.077828,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2029,163.15092284818326,168.35133208000002,170.46,168.35133208000002,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2030,162.66550585955076,168.58654558880002,171.26000000000002,168.58654558880002,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2031,162.22628240488575,168.788829206368,172.06,168.788829206368,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2032,161.82885658822585,168.96279311747648,172.86,168.96279311747648,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2033,161.46925083841845,169.11240208102978,173.66,169.11240208102978,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
山东,2034,161.14386610025184,169.24106578968562,174.46,169.24106578968562,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
