省份,行政区划代码,log1p人口密度_最新年值,log1p人口密度_线性趋势斜率,城镇化率_最新年值,城镇化率_线性趋势斜率,老龄人口占比_最新年值,老龄人口占比_线性趋势斜率,少儿人口占比_最新年值,少儿人口占比_线性趋势斜率,平均家庭规模_最新年值,平均家庭规模_线性趋势斜率,log1p人均可支配收入_最新年值,log1p人均可支配收入_线性趋势斜率,log1p人均消费支出_最新年值,log1p人均消费支出_线性趋势斜率,口粮_最新年值,口粮_线性趋势斜率,口粮_变异系数,饲料粮_最新年值,饲料粮_线性趋势斜率,饲料粮_变异系数
新疆,650000,2.8186804131450693,0.009287631354754234,0.6035989325200153,0.012539410208732619,0.06295844452916508,0.0011163406065857198,0.2376706061761342,0.0002921164887225446,3.18,-0.09757575757576124,10.338511462885837,0.06527178945208832,9.969509348078125,0.04976077896847184,124.3,-5.783636363636451,0.12408585150272929,88.11999999999999,1.9821818181819044,0.08718061836551537
江苏,320000,6.684934706345535,0.0025528253243711735,0.7553002580342482,0.00882279273939384,0.18776800375322544,0.007106119510081396,0.13006333567909922,-6.91069197354381e-05,2.46,-0.06636363636363832,10.92262363970244,0.07036473477049898,10.528007866049895,0.06685278781081436,131.3,2.0951515151516302,0.05782398542570976,203.96,9.151212121212511,0.18471303796796462
江西,360000,5.6012014764828635,0.0005174647190645671,0.6377010217681031,0.012891045339896665,0.1388671701466015,0.005630050959251562,0.17883385162150156,-0.003106477549677748,2.69,-0.0910909090909116,10.491496414972769,0.07554755059278044,10.115651043007174,0.07866339981926965,143.2,1.563636363636516,0.08030276012008851,203.16000000000005,11.801515151515611,0.22776617515888992
河北,130000,5.972663837966087,0.00045932280154736973,0.6342003252914069,0.012753268880057409,0.16457034426673897,0.007335337239927852,0.16965302249932232,-0.0008124263321087741,2.53,-0.07024242424242616,10.453514658501255,0.07251794218462089,10.096336831216737,0.06644796423923897,147.3,5.19818181818203,0.13215807927336162,142.82000000000002,8.702242424242785,0.22613837696365938
河南,410000,6.383690053176539,0.0008208164425967412,0.5922003065917221,0.013422440425341456,0.15036177823198774,0.006824364251066551,0.19362187020950433,-0.0007016881178319302,2.67,-0.08084848484848745,10.359423950612095,0.06790499796507168,9.996841274269336,0.06832767577781326,141.9,2.810909090909172,0.07702219043930915,157.68,10.018363636364045,0.26786154705975807
浙江,330000,6.451862336489777,0.012382139280822317,0.7545997001499251,0.009617350911975697,0.15715742128935534,0.005328433739857647,0.12291154422788607,-9.276486977052418e-05,2.35,-0.021575757575757956,11.11265683176888,0.07137047806037367,10.71681489335218,0.07033463928613176,128.5,0.5606060606060982,0.05091634620621191,201.17000000000004,8.694787878788249,0.16529862312677518
海南,460000,5.695188963937696,0.011713040691304652,0.6308015267175573,0.008334400260313447,0.11850190839694656,0.005033768532716392,0.1779293893129771,-0.0016965313690599053,3.21,-0.050060606060607624,10.458234363360047,0.06700959472742524,10.162345677674331,0.07110359445874674,100.2,0.6489090909091207,0.05351571384024819,222.89,7.0338424242427475,0.14896441752646705
湖北,420000,5.75207783097207,-0.0012534625850703677,0.6635001714089819,0.010004180275167878,0.17294480630785053,0.0076104523020502956,0.1428025368529311,-0.0010522151021195834,2.6,-0.03806060606060692,10.5172667977125,0.06670346050777028,10.23598762483351,0.0735492553225136,99.3,-0.5587878787878756,0.08375457951111778,144.57999999999996,5.058181818182097,0.13480640889944706
湖南,430000,5.735458643875438,-0.0011570447898401216,0.6207004129071724,0.01220338080708005,0.16682826120201869,0.006635474956620964,0.16581740327267167,-0.001475496392691524,2.39,-0.07836363636363886,10.5368847286903,0.07536317804158721,10.194700882751727,0.06860185656998909,138.6,0.3369696969697335,0.053729054202606256,190.21,7.608787878788197,0.14654363544731208
甘肃,620000,4.124354749881411,-0.0028768547303330175,0.568299430431245,0.013457481330994892,0.10576484947111474,0.004391538655591016,0.19368185516680228,0.0005342340096747393,2.77,-0.05727272727272864,10.189155097188696,0.07571108431563897,9.89495122151384,0.06305651252867911,131.4,-2.0806060606061276,0.06472084976903311,97.40999999999998,3.4269090909092346,0.1262232151246957
