省份,行政区划代码,log1p人口密度_最新年值,log1p人口密度_线性趋势斜率,城镇化率_最新年值,城镇化率_线性趋势斜率,老龄人口占比_最新年值,老龄人口占比_线性趋势斜率,少儿人口占比_最新年值,少儿人口占比_线性趋势斜率,平均家庭规模_最新年值,平均家庭规模_线性趋势斜率,log1p人均可支配收入_最新年值,log1p人均可支配收入_线性趋势斜率,log1p人均消费支出_最新年值,log1p人均消费支出_线性趋势斜率,口粮_最新年值,口粮_线性趋势斜率,口粮_变异系数,饲料粮_最新年值,饲料粮_线性趋势斜率,饲料粮_变异系数
山西,140000,0.028270935798074638,-0.5465298277556513,-0.04604232981585912,0.3452943037740018,0.15613279076971653,1.1300181265939588,-0.3171650376934745,-0.011872969842778422,-0.4239215371866201,-0.5867125665634413,-0.6009272501436227,-0.2398723364200307,-0.8939787974062144,-0.060449994070571604,-0.30663586737920895,-0.16916859185475683,0.5460268692006334,-1.4246724905986576,-0.5016443519089652,0.3356112234540633
广东,440000,0.8513640023070739,1.2897272545446896,0.9072832287655702,-0.7793985133874218,-1.4108511908402575,-1.4564499274113896,0.47788353469602984,1.5213617347275046,0.2696612000437105,0.4809802403814591,0.9531843546845176,-0.12683236865117326,1.1265163658707666,-0.4033871050269881,-0.8901338069791545,-0.08682520007049584,-0.5343972419701108,1.6571649848064234,0.36429393629316975,-0.7306903255298447
广西,450000,-0.0005611930254613406,0.5647518578874406,-0.9337739513111049,0.10638495248433137,-0.3517567327699753,-0.27857832886159944,1.3259070475463302,0.10806311177100053,1.437800546957953,-0.2107239705694257,-0.7403346833032644,-0.244028253591209,-0.8831415096046248,0.3831387551081241,-0.20584985963012714,-0.2596972114505274,-0.31872660533821834,0.662965393417106,-0.46680871895006876,-1.2049030260256293
新疆,650000,-1.7854971840111895,1.2605962205638381,-0.6385385160644386,0.7105754515677833,-2.4995479750813514,-2.2044853802494035,2.145267396230028,0.47368114944223566,2.2774007025525638,-1.9787314143276233,-0.7648672574586154,-0.5587210595400156,-0.8447373222854655,-0.9363815065178892,0.0912036368934812,-1.3714148528159316,1.1620719386086953,-1.5896171812393651,-1.334929480542424,-1.1027576108701274
江苏,320000,0.9335687900776504,0.1914258234567746,0.8695088272663166,-0.4010504041635611,0.9932305721625628,0.3203786716942962,-0.7331692038441057,0.24183065209079088,-0.35091282800448,-0.5006083079388592,1.2015369659029533,-0.0227988461348194,1.285880551651472,0.392886893900319,0.46252050754799273,0.7567443781883991,-0.4782156943535138,1.0349972368677125,1.1474031622732452,0.7989518970977274
江西,360000,0.1713990188105639,-0.1316936987409513,-0.29953313876612314,0.8157481541152367,-0.37525260833595603,-0.30182666880998354,0.5714158622456251,-1.707699402450814,0.48868732759013095,-1.6716262252332206,-0.24984588342387504,0.5225802917694814,-0.2872208789580181,1.3114139949129688,1.0937591876606598,0.6131754823737362,0.07823793906024377,1.016871446687416,2.065091252208298,1.6384118497735147
河北,130000,0.43264170777182787,-0.14092390028795745,-0.3343332039837053,0.7745397498788716,0.3440472251144977,0.4170005362876121,0.32583362191702797,-0.23526737482123836,-0.09538234586699026,-0.6842973930046355,-0.3777108540590006,0.20377960918949609,-0.3609027304536189,0.3614032229987163,1.3112447833297316,1.5949117060916476,1.3618969083315808,-0.35026627766152324,0.9919439038639349,1.6066726668685816
河南,410000,0.7217089318814218,-0.08353571449480972,-0.7518510892441033,0.9746863610903251,-0.053577563738299146,0.20161072776943878,0.9669874044813022,-0.16419028110380954,0.4156786184079908,-1.1865722349814047,-0.6944657047807927,-0.28163288238365136,-0.7404686651660157,0.5075909048081441,1.0248003402533945,0.950079459097317,-0.0029713325017503758,-0.013579725062497603,1.4476611359935898,2.4202006158083247
浙江,330000,0.7696532526310857,1.751858515756768,0.8625446530725733,-0.16340113952676286,0.13659758336633798,-0.42896700019191,-0.9244757779648244,0.22664584580881278,-0.75246072850625,1.6204265961801216,1.8412806423571697,0.08303385701214235,2.006161114894575,0.6636751425948253,0.31399375928618783,0.3422444418112377,-0.6492117114523533,0.9717835436139258,0.9893627093736111,0.4204051795486937
海南,460000,0.23749870076319265,1.6456371336663196,-0.3681203125830259,-0.5471266985278247,-0.9451716897783119,-0.5531768584949103,0.5472219820345658,-0.8027283635845963,2.3869137663257733,0.2714598777282578,-0.36182204376586813,-0.37585468430934205,-0.1090853601743713,0.7234778153949367,-1.1871873035027627,0.3660961956541066,-0.5848653409671632,1.4638987470090015,0.41424739454342274,0.10191708890331731
湖北,420000,0.2775076010907454,-0.4128336514682901,-0.04306643391541538,-0.04770197881732824,0.5784054068415283,0.532969446274561,-0.39240242530681896,-0.3891753007323138,0.1601481362705011,0.8397479846505421,-0.16309030552575843,-0.40806868197459834,0.17185155163458482,0.913680133585361,-1.234928044015486,0.03988212645239014,0.1636864329457504,-0.31038953926487023,-0.2698404954849039,-0.17413901356641673
湖南,430000,0.26581963058375085,-0.39752704101069886,-0.468534450658592,0.6100703621297292,0.4072347235884399,0.1219884583958,0.22323287091811198,-0.6608575213215179,-0.6064433101419697,-1.0688964148611357,-0.09704685726449451,0.5031790731132649,0.014346620456737912,0.5289143119279712,0.8497509583734102,0.28183746056196224,-0.5795841803433308,0.7234602181438493,0.6133267413071449,0.05471612418397601
甘肃,620000,-0.8672402890872011,-0.6705519609163549,-0.989447251801715,0.9851669599289062,-1.3016165522368184,-0.8238952198841325,0.9685919698210117,0.6290837793268788,0.7807221643186916,-0.07008701481591409,-1.267673053929806,0.5397886749822204,-1.1291693699872383,0.09764548498354857,0.4678250342716283,-0.3711800142439163,-0.307486405271588,-1.3791314427706607,-0.8346813971243567,-0.3414960962339862
福建,350000,0.3294691503439975,0.7072804989573118,0.4987012982173426,-0.24000689225743027,-0.6364805649790775,-0.7170373056136653,0.38985164065118955,0.17621290109350224,0.23315684545264123,1.3334124007648236,0.7079092077964897,0.030166937347559656,0.9138654091066782,0.30274433282411456,-0.296026813931937,0.07278674225484444,-1.1222971624708824,1.0474587176166665,0.025297059896901137,-0.37483642239447135
