省份,行政区划代码,年份,人均可支配收入_地区总计,人均消费支出_地区总计,log1p人均可支配收入,log1p人均消费支出
西藏,540000,2016,13639.0,9319.0,9.520761931397454,9.139917907679637
西藏,540000,2017,15457.0,10320.0,9.645881947666817,9.241935933565934
西藏,540000,2018,17286.0,11520.0,9.757710052922787,9.351926736038054
西藏,540000,2019,19501.0,13029.0,9.878272303395065,9.47500967011889
西藏,540000,2020,21744.0,13225.0,9.987139125031739,9.489939868234607
西藏,540000,2021,24950.0,15342.0,10.124669180536797,9.638414622945206
西藏,540000,2022,26675.0,15886.0,10.191519563752196,9.673256443720023
西藏,540000,2023,28983.0,17220.0,10.274499232574913,9.7538848483049
西藏,540000,2024,31358.0,18983.0,10.353256586200818,9.8513517981156
贵州,520000,2015,13697.0,10414.0,9.52500511575785,9.251002353695073
贵州,520000,2016,15121.0,11932.0,9.623905916118215,9.387062950369655
贵州,520000,2017,16704.0,12970.0,9.723463354790857,9.470471375340674
贵州,520000,2018,18430.0,13798.0,9.821789308551622,9.532351404751555
贵州,520000,2019,20397.0,14780.0,9.923192135810464,9.601097851212073
贵州,520000,2020,21795.0,14874.0,9.989481745702989,9.607437230413831
贵州,520000,2021,23996.0,17957.0,10.085684101516932,9.795790977080754
贵州,520000,2022,25508.0,17939.0,10.146786610053903,9.794788135612787
贵州,520000,2023,27098.0,20161.0,10.207252105817954,9.911554923613886
贵州,520000,2024,28561.0,20871.0,10.259832442012879,9.946163826816564
辽宁,210000,2015,24576.0,17200.0,10.109566325223746,9.75272280064639
辽宁,210000,2016,26040.0,19853.0,10.167427498042906,9.896160777149667
辽宁,210000,2017,27835.0,20463.0,10.234085425964741,9.926422523818625
辽宁,210000,2018,29701.0,21398.0,10.29896966259089,9.971099470946148
辽宁,210000,2019,31820.0,22203.0,10.36788172817358,10.008027731810053
辽宁,210000,2020,32738.0,20672.0,10.3963223067812,9.936583780025318
辽宁,210000,2021,35112.0,23831.0,10.466326711254153,10.078784494393119
辽宁,210000,2022,36089.0,22604.0,10.493771097636834,10.025926399728705
辽宁,210000,2023,37992.0,24865.0,10.545157211213365,10.121256687512883
辽宁,210000,2024,39844.0,25963.0,10.592752205831848,10.16446624215336
重庆,500000,2015,20110.0,15140.0,9.909022208034603,9.625161575008372
重庆,500000,2016,22034.0,16385.0,10.000387377276088,9.70418259070176
重庆,500000,2017,24153.0,17898.0,10.09220527683532,9.7925001243465
重庆,500000,2018,26386.0,19248.0,10.18062674361135,9.865214390314636
重庆,500000,2019,28920.0,20774.0,10.272323253821503,9.94150561972365
重庆,500000,2020,30824.0,21678.0,10.336081328032545,9.984099329028517
重庆,500000,2021,33803.0,24598.0,10.428334417664374,10.1104610706877
重庆,500000,2022,35666.0,25371.0,10.481981170526655,10.141401482753787
重庆,500000,2023,37595.0,26515.0,10.534652940740193,10.185503603361282
重庆,500000,2024,39713.0,27451.0,10.589459049346978,10.220194304028526
陕西,610000,2015,17395.0,13087.0,9.76399557371753,9.479451058842528
陕西,610000,2016,18874.0,13943.0,9.845593574117226,9.542804587199857
陕西,610000,2017,20635.0,14900.0,9.93479240236454,9.60918360377546
陕西,610000,2018,22528.0,16160.0,10.022558647177142,9.690356211348643
陕西,610000,2019,24666.0,17465.0,10.113221596940404,9.768011412973678
陕西,610000,2020,26226.0,17418.0,10.174544693464336,9.765316843477462
陕西,610000,2021,28568.0,19347.0,10.260077492862155,9.870344333942874
陕西,610000,2022,30116.0,19848.0,10.312845075359636,9.895908907012577
陕西,610000,2023,32128.0,22012.0,10.37751432806502,9.99938846691333
陕西,610000,2024,33905.0,23213.0,10.431347268857898,10.052510823928568
青海,630000,2015,15813.0,13611.0,9.668650902630873,9.518707035620796
青海,630000,2016,17302.0,14775.0,9.758635175856648,9.600759521879075
青海,630000,2017,19001.0,15503.0,9.852299515766695,9.648853334130548
青海,630000,2018,20757.0,16557.0,9.940686993525235,9.71462464769875
青海,630000,2019,22618.0,17545.0,10.026545540027982,9.772581282688328
青海,630000,2020,24037.0,18284.0,10.087391190512735,9.81383633058348
青海,630000,2021,25919.0,19020.0,10.16277015046621,9.85329891095284
青海,630000,2022,27000.0,17261.0,10.203629181337648,9.756262832779603
青海,630000,2023,28587.0,20327.0,10.26074232833987,9.919754525
青海,630000,2024,30117.0,21204.0,10.312878278646764,9.96199228190869
黑龙江,230000,2015,18593.0,13403.0,9.830594227015803,9.5033084488572
黑龙江,230000,2016,19838.0,14446.0,9.895404976342773,9.578242059529382
黑龙江,230000,2017,21206.0,15577.0,9.962086594839064,9.653614941479894
黑龙江,230000,2018,22726.0,16994.0,10.031308923974013,9.740674462130217
黑龙江,230000,2019,24254.0,18111.0,10.096378060679317,9.80432998100291
黑龙江,230000,2020,24902.0,17056.0,10.122743557123146,9.744315955640873
黑龙江,230000,2021,27159.0,20636.0,10.209500581672632,9.934840860194123
黑龙江,230000,2022,28346.0,20412.0,10.252276483450736,9.923927231773584
黑龙江,230000,2023,29694.0,22052.0,10.29873396044996,10.001203926042198
黑龙江,230000,2024,31269.0,23467.0,10.350414450451886,10.06339307004575
