省份,行政区划代码,年份,总人口,城镇人口,0-14岁,65岁及以上,平均家庭规模,土地调查总面积（平方公里）,人口密度（人/平方公里）,log1p人口密度,城镇化率,老龄人口占比,少儿人口占比
内蒙古,150000,2022,2401.0,1647.0,319.11,352.69,2.45,1145121.2296,20.967212360901637,3.089550994454481,0.6859641815910037,0.1468929612661391,0.13290712203248647
内蒙古,150000,2023,2396.0,1667.0,308.56,370.29,2.48,1145121.2296,20.9235488616078,3.0875613495961174,0.6957429048414023,0.15454507512520868,0.1287813021702838
内蒙古,150000,2024,2388.0,1689.03,298.39,383.02,2.36,1145121.2296,20.853687262737655,3.0843696607477096,0.7072989949748744,0.16039363484087102,0.1249539363484087
北京,110000,2015,2188.0,1897.0,229.7,221.65,2.56,16410.537,1333.2897028293467,7.196154371435637,0.8670018281535649,0.10130255941499086,0.104981718464351
北京,110000,2016,2195.0,1904.0,238.83,257.7,2.62,16410.537,1337.5552548950714,7.1993461433149895,0.8674259681093394,0.11740318906605922,0.10880637813211845
北京,110000,2017,2194.0,1907.0,239.36,274.3,2.62,16410.537,1336.9458903142536,7.198890799148642,0.8691886964448496,0.12502278942570647,0.10909753874202371
北京,110000,2018,2192.0,1909.0,229.46,246.67,2.58,16410.537,1335.727161152618,7.197979488328569,0.8708941605839416,0.11253193430656934,0.10468065693430657
北京,110000,2019,2190.0,1913.0,228.25,250.85,2.56,16410.537,1334.5084319909824,7.197067346263504,0.8735159817351598,0.11454337899543379,0.10422374429223745
北京,110000,2020,2189.0,1916.0,246.64,281.21,2.5,16410.537,1333.8990674101647,7.196610963039946,0.8752855185015989,0.12846505253540427,0.11267245317496573
北京,110000,2021,2189.0,1916.0,265.02,311.57,2.43,16410.537,1333.8990674101647,7.196610963039946,0.8752855185015989,0.14233439926907263,0.12106898126998629
北京,110000,2022,2184.0,1913.0,263.49,330.17,2.44,16410.537,1330.8522445060755,7.194325917399428,0.8759157509157509,0.15117673992673994,0.1206456043956044
北京,110000,2023,2186.0,1920.0,262.51,346.65,2.46,16410.537,1332.070973667711,7.1952405623229945,0.8783165599268069,0.15857731015553522,0.12008691674290942
北京,110000,2024,2183.0,1925.84,261.14,359.75,2.21,16410.537,1330.2428799252577,7.193868281030481,0.8821988089784699,0.1647961520842877,0.1196243701328447
吉林,220000,2015,2613.0,1506.0,323.77,273.64,2.79,191123.9097,136.71758829659396,4.925205126674485,0.5763490241102182,0.10472254114045158,0.12390738614619211
吉林,220000,2016,2567.0,1508.0,324.77,278.6,2.85,191123.9097,134.3107727353068,4.907574153110675,0.5874561745227892,0.10853135956369303,0.1265173354109856
吉林,220000,2017,2526.0,1508.0,314.28,308.04,2.66,191123.9097,132.1655675611161,4.891593222895518,0.5969912905779889,0.1219477434679335,0.12441805225653206
吉林,220000,2018,2484.0,1512.0,305.27,307.31,2.66,191123.9097,129.96804030950608,4.87495332633333,0.6086956521739131,0.1237157809983897,0.12289452495974235
吉林,220000,2019,2448.0,1509.0,288.08,325.31,2.6,191123.9097,128.08444552241178,4.860466806646587,0.616421568627451,0.13288807189542484,0.11767973856209149
吉林,220000,2020,2399.0,1503.0,276.92,361.15,2.51,191123.9097,125.5206637288668,4.840405644462787,0.6265110462692789,0.15054189245518965,0.115431429762401
吉林,220000,2021,2375.0,1505.0,265.76,396.98,2.41,191123.9097,124.26493387080393,4.830430965358773,0.6336842105263157,0.16714947368421054,0.11189894736842104
吉林,220000,2022,2348.0,1496.0,253.01,416.87,2.38,191123.9097,122.85223778048321,4.81908922424596,0.637137989778535,0.17754258943781942,0.10775553662691652
吉林,220000,2023,2339.0,1514.0,241.03,436.29,2.45,191123.9097,122.38133908370963,4.815279877051414,0.6472851646002565,0.1865284309533989,0.10304831124412142
吉林,220000,2024,2317.0,1524.12,230.1,449.8,2.23,191123.9097,121.23025338048535,4.805906588768168,0.6577988778593008,0.19413034095813553,0.0993094518774277
四川,510000,2015,8196.0,3956.0,1318.33,1134.35,2.86,484056.0695,169.31922800732488,5.137674487973524,0.4826744753538311,0.13840287945339189,0.1608504148365056
四川,510000,2016,8251.0,4126.0,1316.93,1130.1,3.02,484056.0695,170.45546001567078,5.144323524512502,0.5000605987153073,0.13696521633741363,0.15960853229911526
四川,510000,2017,8289.0,4292.0,1312.05,1154.65,2.95,484056.0695,171.24049303961883,5.148891715567215,0.5177946676318012,0.13929907105802872,0.1582880926529135
四川,510000,2018,8321.0,4452.0,1361.8,1247.19,2.91,484056.0695,171.90157348083827,5.152722493173216,0.535031847133758,0.14988462925129192,0.16365821415695228
四川,510000,2019,8351.0,4623.0,1370.75,1314.32,2.75,484056.0695,172.52133639448147,5.156300568163013,0.5535863968387019,0.15738474434199495,0.16414201891988983
四川,510000,2020,8371.0,4749.0,1339.83,1393.14,2.74,484056.0695,172.9345116702436,5.158678858658429,0.5673157328873492,0.16642456098435074,0.1600561462190897
四川,510000,2021,8372.0,4841.0,1308.91,1471.97,2.73,484056.0695,172.95517043403171,5.1587976248356116,0.5782369804108934,0.17582059245102724,0.15634376493072147
四川,510000,2022,8374.0,4886.0,1260.12,1517.77,2.72,484056.0695,172.99648796160793,5.159035114882137,0.5834726534511584,0.1812479101982326,0.15048005732027703
四川,510000,2023,8368.0,4978.0,1213.24,1544.97,2.77,484056.0695,172.8725353788793,5.1583224754709915,0.594885277246654,0.18462834608030593,0.14498565965583174
四川,510000,2024,8364.0,5026.76,1168.75,1542.6,2.51,484056.0695,172.78990032372687,5.157847100232125,0.6009995217599235,0.18443328550932567,0.13973577235772358
天津,120000,2015,1439.0,1193.0,155.64,165.42,2.7,11917.3191,1207.4863380976346,7.097123895236969,0.8290479499652537,0.11495482974287699,0.10815844336344684
天津,120000,2016,1443.0,1202.0,157.18,163.96,2.77,11917.3191,1210.842797689289,7.099897453340031,0.832986832986833,0.11362439362439362,0.10892584892584893
天津,120000,2017,1410.0,1178.0,159.23,159.1,2.74,11917.3191,1183.152006058141,7.076782190698547,0.8354609929078014,0.1128368794326241,0.11292907801418439
天津,120000,2018,1383.0,1161.0,142.04,151.0,2.7,11917.3191,1160.4959038144746,7.0574640255701295,0.8394793926247288,0.10918293564714389,0.10270426608821402
天津,120000,2019,1385.0,1168.0,142.33,167.32,2.65,11917.3191,1162.1741336103016,7.058907869264381,0.8433212996389892,0.1208086642599278,0.10276534296028882
天津,120000,2020,1387.0,1175.0,162.24,192.96,2.55,11917.3191,1163.8523634061287,7.060349631279277,0.8471521268925739,0.1391204037490988,0.11697188175919251
天津,120000,2021,1373.0,1165.0,182.15,218.6,2.44,11917.3191,1152.1047548353388,7.050213370292408,0.8485069191551348,0.15921340131099782,0.13266569555717408
天津,120000,2022,1363.0,1160.0,176.64,231.8,2.44,11917.3191,1143.713605856203,7.042909758811864,0.851063829787234,0.17006603081438004,0.12959647835656637
天津,120000,2023,1364.0,1166.0,170.95,244.27,2.51,11917.3191,1144.5527207541165,7.043642525063291,0.8548387096774194,0.17908357771260996,0.12532991202346042
天津,120000,2024,1364.0,1173.18,165.4,253.25,2.36,11917.3191,1144.5527207541165,7.043642525063291,0.8601026392961877,0.18566715542521994,0.12126099706744868
宁夏,640000,2015,684.0,390.0,149.89,48.42,3.27,51954.3751,131.65397498929786,4.887744046130238,0.5701754385964912,0.07078947368421053,0.21913742690058477
宁夏,640000,2016,695.0,408.0,156.51,50.27,3.33,51954.3751,133.77121727713745,4.9035786539962505,0.5870503597122302,0.07233093525179857,0.22519424460431653
宁夏,640000,2017,705.0,430.0,161.3,51.36,3.17,51954.3751,135.69598299335527,4.917759357733804,0.6099290780141844,0.07285106382978723,0.22879432624113477
宁夏,640000,2018,710.0,441.0,160.64,50.82,3.1,51954.3751,136.65836585146417,4.9247750059965485,0.6211267605633802,0.07157746478873239,0.22625352112676053
宁夏,640000,2019,717.0,456.0,173.09,57.84,3.31,51954.3751,138.00570185281663,4.934514952813234,0.6359832635983264,0.08066945606694562,0.2414086471408647
宁夏,640000,2020,721.0,468.0,165.04,58.22,3.14,51954.3751,138.77560813930376,4.9400383377478425,0.6490984743411928,0.080748959778086,0.22890429958391123
