省份,行政区划代码,地区生产总值_均值,地区生产总值_最新年值,地区生产总值_首年值,地区生产总值_变化量,地区生产总值_变化率,地区生产总值_线性趋势斜率,地区生产总值_标准差,地区生产总值_变异系数,人均可支配收入_地区总计_均值,人均可支配收入_地区总计_最新年值,人均可支配收入_地区总计_首年值,人均可支配收入_地区总计_变化量,人均可支配收入_地区总计_变化率,人均可支配收入_地区总计_线性趋势斜率,人均可支配收入_地区总计_标准差,人均可支配收入_地区总计_变异系数,人均消费支出_地区总计_均值,人均消费支出_地区总计_最新年值,人均消费支出_地区总计_首年值,人均消费支出_地区总计_变化量,人均消费支出_地区总计_变化率,人均消费支出_地区总计_线性趋势斜率,人均消费支出_地区总计_标准差,人均消费支出_地区总计_变异系数,地区居民消费价格指数_总指数_均值,地区居民消费价格指数_总指数_最新年值,地区居民消费价格指数_总指数_首年值,地区居民消费价格指数_总指数_变化量,地区居民消费价格指数_总指数_变化率,地区居民消费价格指数_总指数_线性趋势斜率,地区居民消费价格指数_总指数_标准差,地区居民消费价格指数_总指数_变异系数,地区居民消费价格指数_食品_均值,地区居民消费价格指数_食品_最新年值,地区居民消费价格指数_食品_首年值,地区居民消费价格指数_食品_变化量,地区居民消费价格指数_食品_变化率,地区居民消费价格指数_食品_线性趋势斜率,地区居民消费价格指数_食品_标准差,地区居民消费价格指数_食品_变异系数,地区居民消费价格指数_粮食_均值,地区居民消费价格指数_粮食_最新年值,地区居民消费价格指数_粮食_首年值,地区居民消费价格指数_粮食_变化量,地区居民消费价格指数_粮食_变化率,地区居民消费价格指数_粮食_线性趋势斜率,地区居民消费价格指数_粮食_标准差,地区居民消费价格指数_粮食_变异系数
山西,140000,-0.5002209038727137,-0.5159764347787907,-0.5247302609502629,-0.5132367270596211,-0.21266499518904472,-0.5213082628655313,-0.5125087437264408,-0.22702416643677947,-0.4143963652021301,-0.5569531977669089,-0.5192305622273042,-0.5591893538998348,0.12498599294797931,-0.5949056754491014,-0.5885678214915134,-0.8546155594002954,-0.6807388762546387,-0.7792420452249998,-0.6177197338441851,-0.8055896825738433,0.26275150794981206,-0.8974713678954541,-0.9230174226798121,-0.34375071067858803,0.26750804341413675,-0.5200882648922479,2.4963970617183864,-2.4704227378667407,-2.4117986932277895,-1.7936463535248088,0.5133518466894496,0.5139166455258711,0.19070389673656465,-0.34880278346848514,-1.2859311472042183,0.9423856173941605,0.9438714703374579,-0.2569564760498262,0.5016286179175861,0.5032298380546015,-0.4638711853671138,-1.7337085994484414,0.1476771527744277,-0.5827015571377488,-0.5830352917388486,0.2359782960746838,-0.6221198835938773,-0.6174134709343817
广东,440000,2.975158187580354,2.8617572953145927,3.039064310908555,2.8364394969049,-0.39898324360640625,2.89938706338132,2.896807487579648,-0.2705536076225536,0.9035468711219604,0.7126205395988852,1.4634701137128092,0.5888582817341868,-1.8792627262531645,0.5339410644609425,0.5449099271450176,-1.8030919193639718,0.9620217795523989,0.9596313876069746,1.4974348104620883,0.8230541381260573,-2.0374894138838595,0.9057285607884183,0.9158213615970144,-1.1893351104139918,-0.8905816407934346,-1.0086560288819606,0.8256650040053035,-0.9271863676124553,-0.9365742535774829,1.6171836589165869,-0.07273070427553587,-0.058219523592839745,-0.7720783476445321,0.624356982408564,1.006795814694194,-0.5216394191954049,-0.5281367839531028,2.6156814583867,-0.5319114592594355,-0.5220351738115903,-1.5516175353203743,0.9419066200466704,1.2349501900761817,-1.0183224961555202,-1.0476463575222565,0.9286278688737937,-1.7369714197625663,-1.7278511195619308
广西,450000,-0.42312639753846565,-0.42422665715587476,-0.43158540421686775,-0.4219614207420235,-0.22295472484503712,-0.4003136067945705,-0.4011980201483273,0.14616387794454827,-0.6012624275090392,-0.6447354201371808,-0.4760796786804903,-0.667128857719244,-0.28303192765598156,-0.6329173279244324,-0.644373117798066,0.023938043667945545,-0.6946891511198762,-0.772158095878862,-0.4369212531270857,-0.8384582324055414,-0.5236989925918205,-0.8356175435422438,-0.842928762037411,0.09356939870083342,0.39158908100782347,-0.0315205009024658,-0.31043279523959477,0.29454242550552123,0.28301559629126893,0.12039966916942411,1.822858870139805,1.8311677204565138,1.4068498896390185,-0.34880278346848514,-0.3984239361467752,0.14382650652713339,0.13621258674706974,-0.02687738798845074,2.000858845687446,1.986602717715179,-0.22456698837746375,0.9419066200466704,0.46241408462493405,-0.23420480592353096,-0.29475909091670627,-0.4483093100507618,0.2837265786795013,0.292453622412865
新疆,650000,-0.7063800715284838,-0.6602481394975396,-0.7163868355604628,-0.6532094908397061,0.11370371083360813,-0.67596351914218,-0.6718290004967806,0.4853680428684131,-0.6462786228048024,-0.659810482641498,-0.47074642341065936,-0.6853364466197422,-0.3429738527520556,-0.6567285140036181,-0.6629438035802839,0.23059688270472814,-0.5834411299089713,-0.7468920098776369,-0.4850924746330256,-0.7966907738857854,-0.2651533584498176,-0.716816583328101,-0.7323996759825133,-0.08813825245001083,0.825872712585874,0.945615027077029,-0.5109206421651629,0.61605000264183,0.6099361557439781,-1.0854493251280477,1.350041941965468,1.346699947624209,-0.8227510973487434,-3.484539806850124,-0.9161364759302801,-1.3201985300624415,-1.2954632646864745,-1.4207545816807103,1.0235336100630463,1.0502400725669792,-1.5407400718208288,-1.7337085994484414,-0.4245718142264959,-0.0018736384473870757,0.00469371850332399,2.0867602531715437,-0.9189888216992714,-0.8985334610121382
江苏,320000,2.6497099448347368,2.7272227527818376,2.1420034094194125,2.762388482229416,0.36486418836873946,2.7697309426376977,2.768908685171547,0.15978375131972367,0.8309788575156525,0.9755002799949652,0.45239157965825966,1.0518365500809563,0.2051454648012802,1.046315796735573,1.0474290411354858,0.16971367597433062,0.7867517007417779,1.1400359642886189,0.3231830862198892,1.3117764620427896,0.5662182146802137,1.2061073283426416,1.2130807174913005,0.1122456027977762,0.308868389278748,1.4341827910667417,-0.04311566600550719,0.23024091007826317,0.2169849589866523,1.085078864607535,-1.072489140544141,-1.0848207811411763,1.0014678920048472,1.2731301596599454,0.4890832749106785,0.34346628424389014,0.3122191793791218,1.5367668998075232,-0.7100462986711913,-0.7315418747963209,0.3628160405972899,-0.9193909239499413,-0.6534714010268645,0.43374730057038013,0.43820709955014625,-0.7758196714346788,1.5368923925599445,1.5419500601855674
江西,360000,-0.30203991987915035,-0.2627229673857494,-0.46215663547080754,-0.2459992324910736,0.6418921738344593,-0.22911376652144827,-0.22645581846665608,0.6088400742237218,-0.3905907970240492,-0.3190873885173727,-0.4959581755953147,-0.2889180553683888,0.6697288585785247,-0.2885886417427464,-0.2856343969122614,0.6567390092049615,-0.5014606174732701,-0.3499547148490453,-0.5695485123382451,-0.29476361772225734,1.163394341539378,-0.40759003481687656,-0.39034788141427723,0.8418646522390909,-0.3115367986896122,1.4341827910667417,0.09054289861154134,0.10163787922373789,0.0872626056539837,1.13484406119756,-0.731619681994653,-0.732214084452169,-0.6031691819636074,0.624356982408564,0.045329669381956914,0.3434662842438807,0.32173864235509664,1.8606646451366426,-0.10962253136389336,-0.09852171567731437,-1.497230217822686,0.8255755235468729,-1.168495471327695,1.3921133664094762,1.4222516097719407,1.373205763688363,0.512622750276717,0.5522062873040329
河北,130000,0.2292076433518377,0.12479747416456642,0.5814394524969076,0.08840081027151761,-1.1411785672494714,0.05807425094845317,0.04649600176684931,-1.1800318744696114,-0.4191230897731262,-0.408603910113805,-0.3296575794542227,-0.41836863468205754,-0.21536962596911083,-0.4243676192577329,-0.4273048192282115,0.06436824401586332,-0.4542343297461249,-0.40579984886109877,-0.5851885193206932,-0.3590654095327408,1.1011926425864456,-0.4163063807104385,-0.4275580315314779,0.4209002510520193,-0.10473506936684995,-0.0315205009024658,-0.31043279523959477,0.29454242550552123,0.28301559629126893,0.1625086816687457,-0.11520027019230997,-0.1136102787366038,0.10624931389619233,0.40809925665811886,0.2672064721463177,0.01073332138262571,-0.005306169516741865,-0.36641157619548653,-0.43752730266942425,-0.44191512730608956,0.06912452610991307,-0.9193909239499413,0.03322735937424135,-0.26324620185805153,-0.2817463147318965,-0.4009248322335431,-0.4050715108625354,-0.4083777057042096
河南,410000,0.7654870433258251,0.5919689494029919,0.7503166831428585,0.5771662611640271,-0.5345025278889215,0.6869668890583362,0.675663578061208,-0.49258441226151817,-0.5944078332859241,-0.6162528905383159,-0.6525619439730778,-0.606360069447961,0.5605853384470479,-0.5756352620487459,-0.5887218251719201,0.31240097401032035,-0.6440209139972388,-0.6769970429957434,-0.7584797966862175,-0.6489975958210813,1.366739702381504,-0.755419608576707,-0.7543992559519171,0.17333935620814986,0.5363502915338894,0.4570472630872469,-0.6445792067822114,0.6803515180690881,0.6765698160147792,-0.7141243967253508,0.7132245569146938,0.7106558440940879,1.5250863056156716,-0.13254505771802466,0.2672064721463177,-0.32199964147863874,-0.3275766045729423,-1.6351972268641968,0.9019207856899721,0.8796106534008136,0.5368554565897837,-0.8030598274501437,-1.4832324031782054,1.304989178605927,1.3907287143842042,0.5871808963670877,0.5425846848422081,0.5365748749221446
浙江,330000,1.2588783699538075,1.3638629957398112,1.192307514197868,1.3719277696179801,-0.0011913677783821418,1.2490876786429466,1.25663354223096,-0.11240201908687017,1.58088498420324,1.7491311424952793,1.32074250586437,1.8052619692673948,-0.47334065081592747,1.7247868751452988,1.7363597441707395,-0.346150602370225,1.54033053591083,2.0563448122115515,1.2634603060046656,2.20999211639548,-0.4543726221844876,1.814292585883346,1.841603109773901,-0.751027127263102,-0.4976583550800688,0.4570472630872469,0.5583478747712065,-0.4770757596216214,-0.4910303928569901,1.1042193248344552,-0.7635052073409392,-0.7616546562849611,0.8156678097558719,1.2731301596599454,1.7463851572420703,-0.7878257894844108,-0.7878241304170254,0.30372169000278415,-0.9252439135658732,-0.9450523955534678,0.6565075550846667,1.6398931990453893,-0.7106962977269577,1.130740802998816,1.1013791569659657,-1.2970489274243224,1.3984476315598282,1.3950145342920945
海南,450000,-1.0384904629790617,-1.0266539462000928,-1.0490527173978723,-1.0208110669200563,0.11507382274939583,-1.0210647470215402,-1.0219452380861875,0.6818107191198232,-0.37042839640853875,-0.3976644842257164,-0.250143591794925,-0.41836863468205754,-0.45329816917888677,-0.3583682681606423,-0.36311944968094917,0.10719419804338254,-0.3615882956019841,-0.21040091273012934,-0.3587212182148455,-0.17348010415114462,0.4747613233044323,-0.2364751201552989,-0.2259993993196381,0.6862670236451378,0.6190709832630383,-1.0086560288819606,0.625177157079726,-0.7342818213306628,-0.746953479144929,0.7826595930217534,1.383549299705198,1.3842961407764354,-0.02887801864857143,-0.5650605092189456,0.8588779461846167,-1.1205587523456753,-1.1020747488015992,1.052037170590815,0.1636995075684932,0.16672137742168364,-2.0411033927992968,-1.9663707924480198,0.40518918792484493,-0.9021569124174503,-0.8914610834305385,0.3042676905760191,-1.141894844309044,-1.1162076766288476
湖北,420000,0.40756953373552957,0.4879372016751033,0.15097743426848137,0.5124884365873813,0.6031748688488621,0.5391120966909982,0.5443363872146734,0.6226013402367905,-0.27530714355691266,-0.25638580111003567,-0.1875990527214531,-0.2655631734031928,-0.3310315899857084,-0.23762540718502215,-0.24146797849795504,0.16612067883813816,-0.16010606810504904,0.023369415692420188,-0.19481394503878996,0.07310578497923605,0.31367686534994615,0.08556750489146109,0.11938167446216749,0.8715307177886846,0.4536295998048138,0.945615027077029,-0.7782377713992599,0.8732560643508807,0.8743753936958595,-0.1705353262800609,0.2530695652400222,0.24853184419547514,0.3258312292812084,1.1650012967847074,0.34116540640110116,0.41001287681613924,0.37976737696126767,-0.19887825964590441,0.283332133053391,0.28064301423716304,-0.23544445187700913,0.12758894454815384,-1.912419128428898,1.9729412850998422,2.124298908560814,0.5607013352338832,1.086029462418115,1.102486719140974
湖南,430000,0.27407356664751903,0.2906927753148738,0.15340246041476263,0.300330544923745,0.09525240983221307,0.3446266981139443,0.34317162010032565,0.29829989625675346,-0.2763549998292278,-0.20755860751198169,-0.3151123378092292,-0.18912203012894924,0.21547168061414534,-0.1860169121935901,-0.18210444686055843,0.4790753423546048,-0.16902484789723451,-0.10980883201497167,-0.14601712325355207,-0.0999923420820207,-0.1403822316851303,-0.07075433612350032,-0.06586384652564836,0.2690751041864513,0.22614769754974595,1.4341827910667417,0.8256650040053035,-0.6056787904761467,-0.6170632486586418,-0.9706065637662826,0.058886970874610985,0.05659186938862423,-0.011987102080400953,1.489387885410406,0.9328368804394106,0.07727991395487481,0.04735753572414563,-0.87124530339811,0.3633475470862225,0.3677302636739033,0.5803653105879651,1.0582377165464514,-0.7965336427770955,1.072658011129779,1.059497312083648,0.15235862933828173,0.580019915377986,0.5732735495100149
甘肃,620000,-0.8847712944326159,-0.8792819383480497,-0.8399041509128565,-0.8788817786311774,-0.596070124253036,-0.895242689612759,-0.8978602412724117,-0.36607032668101386,-0.7558108612396152,-0.9457697435087894,-1.2027987385754175,-0.8986894393933775,3.584024118940686,-1.1256549983324118,-1.117138126039295,-1.9239634015438911,-0.8408131025808421,-0.9281230473163307,-0.8357414311795108,-0.936561524152116,1.0862596343720787,-0.8269593191752855,-0.8233837652362646,1.1541112416243904,1.1774356524346286,0.945615027077029,-0.4440913598566433,0.5517484872145718,0.544158556353942,-1.4338057012583754,0.49807285548112973,0.48305171369695554,-0.14711443462516471,-0.4569316463437231,0.34116540640110116,-0.5881860117676541,-0.5860533428536772,-0.16090404122798826,-0.5368883124819468,-0.5377567058970916,1.3635426825542647,0.5929133305473109,1.1777252933760887,-1.0473638920900366,-1.0696148459824257,0.5300407907640597,-0.8041199670164028,-0.8335311559035076
福建,350000,0.3184505273033631,0.42244111672033524,0.23807960289966734,0.4352557255062229,0.18833578546065066,0.457944705283887,0.47505770998158064,0.7752353428268126,0.5284506610488594,0.47135283571341896,0.476231230714404,0.46741366376786364,-0.6645964199705504,0.4164943643074683,0.43207384631940476,-0.824905707032648,0.47403174271554344,0.7303475604369791,0.37635910996021255,0.8015245203323687,-0.2417876690470137,0.7810481144817674,0.7939583862740001,0.15121207117310387,-1.3041850994390325,-1.4972237928716734,1.2934699801649592,-1.4415984910305384,-1.4381533316224466,-0.12459822173531412,-0.15293358737819385,-0.132660467664755,-0.9072056801892958,0.19184153090765838,1.0807547489489775,-0.8543723820566599,-0.8475236715987049,0.8934389642571967,-0.28147558113325405,-0.2666629028196027,-0.529135966364386,-0.22140434495120567,-0.3387344691763582,0.2885403208977938,0.2650128695864293,-0.8496837103850549,0.5844744856331575,0.6029290667617413
西藏,540000,-1.1854445571015022,-1.1770390066282075,-1.2116487327796845,-1.1696381980059132,2.317690208805809,-1.1724902989789772,-1.1740527961552985,1.812384706240722,-0.9366350896371921,-0.6291934309181281,-0.7146216416583833,-0.6114305372430364,0.842278710757386,-0.721799892733028,-0.6608353564376908,2.754689337491493,-1.1249001708738597,-1.0280067330968745,-0.7071805737837878,-1.0874841448858734,0.016047146126280467,-1.2123293426737385,-1.167371332064332,1.6259143598880064,-0.2908566257573066,-1.0086560288819606,-0.1767742306225462,0.037336363796470665,0.0229182536863043,0.3539132839382082,-1.5952365787494913,-1.603763983373644,-2.9847884180643036,-0.2406739205932626,1.3026315517133487,-1.3201985300624415,-1.2934755161943763,0.9604522908771267,-2.414370450919621,-2.395098791702915,-1.2905584113315949,0.5929133305473109,3.180596677879321,-3.0802616075063027,-2.8366079621328497,1.692354158398825,-2.1786509395447773,-2.179125924180263
贵州,520000,-0.6625727379436862,-0.5982129933125839,-0.8490476921201467,-0.5761142990530955,1.934628683140636,-0.5515045206944786,-0.5427313418532573,1.713551255609184,-0.9055664579249169,-0.8157640053631512,-0.826620002324833,-0.8085641790940001,0.8600712332598831,-0.776453455448633,-0.7672083873258868,1.6715323762256724,-0.8866313495658271,-0.805098460338403,-0.7947646128854969,-0.7964037123152029,1.207587811783847,-0.7481217434781746,-0.7312704441601575,1.9444896079858656,-0.47697818214783666,-0.5200882648922479,-0.4440913598566433,0.3588439409327793,0.3487912243010471,-1.062480772855723,1.292296110316904,1.312735697401031,0.6129768109387863,0.7324858452838019,-1.3598900814590122,1.6743981356889481,1.6715145852258346,-0.5116071172052001,1.9810545263113692,1.9847572444075061,0.5803653105879651,0.9419066200466704,0.7771510164754445,-0.5536601612032325,-0.6067851253767097,-0.5556212156956885,0.5497853579410484,0.5428448706389329
