省份,year,indicator,indicator_code,raw_model_reference,median_of_models
河南,2029,口粮,grain_raw,median_of_models,149.26844863379046
河南,2030,口粮,grain_raw,median_of_models,149.45032176504617
河南,2031,口粮,grain_raw,median_of_models,149.7156819531284
河南,2032,口粮,grain_raw,median_of_models,150.0872435395487
河南,2033,口粮,grain_raw,median_of_models,150.57573296423675
河南,2034,口粮,grain_raw,median_of_models,151.18324276302482
河南,2035,口粮,grain_raw,median_of_models,151.90598388359905
浙江,2025,口粮,grain_raw,median_of_models,134.72307133188406
浙江,2026,口粮,grain_raw,median_of_models,133.15753872800514
浙江,2027,口粮,grain_raw,median_of_models,131.5781953210311
浙江,2028,口粮,grain_raw,median_of_models,130.06941404319272
浙江,2029,口粮,grain_raw,median_of_models,128.6957522846505
浙江,2030,口粮,grain_raw,median_of_models,127.50183675318448
浙江,2031,口粮,grain_raw,median_of_models,126.64098338174529
浙江,2032,口粮,grain_raw,median_of_models,126.24543661739185
浙江,2033,口粮,grain_raw,median_of_models,125.94450882429041
浙江,2034,口粮,grain_raw,median_of_models,125.72495334646551
浙江,2035,口粮,grain_raw,median_of_models,125.57537805977863
海南,2025,口粮,grain_raw,median_of_models,103.19384167643273
海南,2026,口粮,grain_raw,median_of_models,103.20829952551838
海南,2027,口粮,grain_raw,median_of_models,103.20773025110097
海南,2028,口粮,grain_raw,median_of_models,103.20891711031551
海南,2029,口粮,grain_raw,median_of_models,103.2281808964456
海南,2030,口粮,grain_raw,median_of_models,103.28006754005982
海南,2031,口粮,grain_raw,median_of_models,103.37654456114646
海南,2032,口粮,grain_raw,median_of_models,103.5266430047582
海南,2033,口粮,grain_raw,median_of_models,103.73644739011601
海南,2034,口粮,grain_raw,median_of_models,104.00932782116146
海南,2035,口粮,grain_raw,median_of_models,104.34631695828446
湖北,2025,口粮,grain_raw,median_of_models,108.17368318991343
湖北,2026,口粮,grain_raw,median_of_models,104.39396927551056
湖北,2027,口粮,grain_raw,median_of_models,100.49110996396837
湖北,2028,口粮,grain_raw,median_of_models,96.58383227408882
湖北,2029,口粮,grain_raw,median_of_models,92.76630213905652
湖北,2030,口粮,grain_raw,median_of_models,90.49184829276994
湖北,2031,口粮,grain_raw,median_of_models,88.76374307108918
湖北,2032,口粮,grain_raw,median_of_models,87.23727459437963
湖北,2033,口粮,grain_raw,median_of_models,85.88462047966169
湖北,2034,口粮,grain_raw,median_of_models,84.68187184567192
湖北,2035,口粮,grain_raw,median_of_models,83.60848450384418
湖南,2025,口粮,grain_raw,median_of_models,145.20177346914372
湖南,2026,口粮,grain_raw,median_of_models,143.2767301048055
湖南,2027,口粮,grain_raw,median_of_models,141.29270314291193
湖南,2028,口粮,grain_raw,median_of_models,139.9135842721213
湖南,2029,口粮,grain_raw,median_of_models,139.25563095887284
湖南,2030,口粮,grain_raw,median_of_models,138.71337898826704
湖南,2031,口粮,grain_raw,median_of_models,138.27063017233394
湖南,2032,口粮,grain_raw,median_of_models,137.91345406941934
湖南,2033,口粮,grain_raw,median_of_models,137.62987049970067
湖南,2034,口粮,grain_raw,median_of_models,137.4095765085305
湖南,2035,口粮,grain_raw,median_of_models,137.24371155491204
甘肃,2025,口粮,grain_raw,median_of_models,134.32268186358493
甘肃,2026,口粮,grain_raw,median_of_models,129.4124805759904
甘肃,2027,口粮,grain_raw,median_of_models,124.54435019016162
甘肃,2028,口粮,grain_raw,median_of_models,120.55043552242412
甘肃,2029,口粮,grain_raw,median_of_models,117.3932109129209
甘肃,2030,口粮,grain_raw,median_of_models,114.53235532450614
甘肃,2031,口粮,grain_raw,median_of_models,111.92637709422661
甘肃,2032,口粮,grain_raw,median_of_models,109.53959339194375
甘肃,2033,口粮,grain_raw,median_of_models,107.3413169837385
甘肃,2034,口粮,grain_raw,median_of_models,105.30515684843914
甘肃,2035,口粮,grain_raw,median_of_models,103.40841670783968
福建,2025,口粮,grain_raw,median_of_models,121.00076419648856
福建,2026,口粮,grain_raw,median_of_models,120.31732207786504
福建,2027,口粮,grain_raw,median_of_models,119.73487376645396
福建,2028,口粮,grain_raw,median_of_models,119.28580028928619
福建,2029,口粮,grain_raw,median_of_models,118.99359718558368
福建,2030,口粮,grain_raw,median_of_models,118.87253407384537
福建,2031,口粮,grain_raw,median_of_models,118.92834650299253
福建,2032,口粮,grain_raw,median_of_models,118.83407093070107
福建,2033,口粮,grain_raw,median_of_models,118.41691839115417
福建,2034,口粮,grain_raw,median_of_models,118.00538467499246
福建,2035,口粮,grain_raw,median_of_models,117.59975660144335
西藏,2025,口粮,grain_raw,median_of_models,119.91987514700983
西藏,2026,口粮,grain_raw,median_of_models,107.87194713018009
西藏,2027,口粮,grain_raw,median_of_models,96.70970353368023
西藏,2028,口粮,grain_raw,median_of_models,87.93588634981478
西藏,2029,口粮,grain_raw,median_of_models,81.80397359511852
西藏,2030,口粮,grain_raw,median_of_models,77.09109516267341
西藏,2031,口粮,grain_raw,median_of_models,73.62568527636307
西藏,2032,口粮,grain_raw,median_of_models,71.25134500064263
西藏,2033,口粮,grain_raw,median_of_models,69.7774773363913
西藏,2034,口粮,grain_raw,median_of_models,67.21491115575074
西藏,2035,口粮,grain_raw,median_of_models,65.03032143706834
贵州,2025,口粮,grain_raw,median_of_models,118.22083333333364
贵州,2026,口粮,grain_raw,median_of_models,117.36044090909132
贵州,2027,口粮,grain_raw,median_of_models,116.58863962059024
贵州,2028,口粮,grain_raw,median_of_models,115.89833234839308
贵州,2029,口粮,grain_raw,median_of_models,115.25590413940128
贵州,2030,口粮,grain_raw,median_of_models,114.68348772380298
贵州,2031,口粮,grain_raw,median_of_models,114.15635356384149
贵州,2032,口粮,grain_raw,median_of_models,113.66948489879033
贵州,2033,口粮,grain_raw,median_of_models,113.21855854268574
贵州,2034,口粮,grain_raw,median_of_models,112.79984305700353
贵州,2035,口粮,grain_raw,median_of_models,112.41011164530133
辽宁,2025,口粮,grain_raw,median_of_models,151.05046340784406
