省份,year,indicator,indicator_code,model,value_kg_per_capita,train_start_year,train_end_year,sample_count,status,detail
北京,2030,口粮,grain_raw,arima,73.45566464364799,2015,2024,10,success,
北京,2031,口粮,grain_raw,arima,72.23387159353727,2015,2024,10,success,
北京,2032,口粮,grain_raw,arima,71.18312957044205,2015,2024,10,success,
北京,2033,口粮,grain_raw,arima,70.27949143058017,2015,2024,10,success,
北京,2034,口粮,grain_raw,arima,69.50236263029895,2015,2024,10,success,
北京,2035,口粮,grain_raw,arima,68.83403186205709,2015,2024,10,success,
北京,2025,口粮,grain_raw,linear_regression,98.59999999999945,2015,2024,10,success,
北京,2026,口粮,grain_raw,linear_regression,99.63818181818124,2015,2024,10,success,
北京,2027,口粮,grain_raw,linear_regression,100.67636363636302,2015,2024,10,success,
北京,2028,口粮,grain_raw,linear_regression,101.71454545454526,2015,2024,10,success,
北京,2029,口粮,grain_raw,linear_regression,102.75272727272704,2015,2024,10,success,
北京,2030,口粮,grain_raw,linear_regression,103.79090909090883,2015,2024,10,success,
北京,2031,口粮,grain_raw,linear_regression,104.82909090909061,2015,2024,10,success,
北京,2032,口粮,grain_raw,linear_regression,105.8672727272724,2015,2024,10,success,
北京,2033,口粮,grain_raw,linear_regression,106.90545454545418,2015,2024,10,success,
北京,2034,口粮,grain_raw,linear_regression,107.94363636363596,2015,2024,10,success,
北京,2035,口粮,grain_raw,linear_regression,108.98181818181774,2015,2024,10,success,
北京,2025,口粮,grain_raw,logistic_curve,99.49481547231933,2015,2024,10,success,
北京,2026,口粮,grain_raw,logistic_curve,100.5200743074684,2015,2024,10,success,
北京,2027,口粮,grain_raw,logistic_curve,101.51765494964313,2015,2024,10,success,
北京,2028,口粮,grain_raw,logistic_curve,102.48592839428972,2015,2024,10,success,
北京,2029,口粮,grain_raw,logistic_curve,103.4235223099441,2015,2024,10,success,
北京,2030,口粮,grain_raw,logistic_curve,104.32931954593211,2015,2024,10,success,
北京,2031,口粮,grain_raw,logistic_curve,105.20245283678024,2015,2024,10,success,
北京,2032,口粮,grain_raw,logistic_curve,106.0422961528217,2015,2024,10,success,
北京,2033,口粮,grain_raw,logistic_curve,106.84845319316179,2015,2024,10,success,
北京,2034,口粮,grain_raw,logistic_curve,107.6207435408928,2015,2024,10,success,
北京,2035,口粮,grain_raw,logistic_curve,108.3591870032435,2015,2024,10,success,
北京,2025,口粮,grain_raw,mlp,84.67750496837091,2015,2024,10,success,
北京,2026,口粮,grain_raw,mlp,79.0770201307668,2015,2024,10,success,
北京,2027,口粮,grain_raw,mlp,73.17455735470776,2015,2024,10,success,
北京,2028,口粮,grain_raw,mlp,67.18949112686778,2015,2024,10,success,
北京,2029,口粮,grain_raw,mlp,61.294737426936834,2015,2024,10,success,
北京,2030,口粮,grain_raw,mlp,55.6161851255545,2015,2024,10,success,
北京,2031,口粮,grain_raw,mlp,50.23680280481454,2015,2024,10,success,
北京,2032,口粮,grain_raw,mlp,45.20336009095134,2015,2024,10,success,
北京,2033,口粮,grain_raw,mlp,40.5341186591632,2015,2024,10,success,
北京,2034,口粮,grain_raw,mlp,36.22634184342703,2015,2024,10,success,
北京,2035,口粮,grain_raw,mlp,32.26293371329163,2015,2024,10,success,
